movie.title,genre,mpaa.rating,total.gross,inflation.adjusted.gross
Déjà Vu,Thriller/Suspense,PG-13,64038616,82267038
Apocalypto,Adventure,R,50866635,64959548
Primeval,Adventure,R,10597734,12985302
Bridge to Terabithia,Drama,PG,82234139,100760721
Wild Hogs,Comedy,PG-13,168213584,206110533
Meet the Robinsons,Adventure,G,97822171,119860589
The Lookout,Drama,R,4600585,5637048
The Hoax,Drama,R,7164995,8779196
The Invisible,Thriller/Suspense,PG-13,20568319,25202168
Pirates of the Caribbean: At World’…,Adventure,PG-13,309420425,379129960
Ratatouille,Comedy,G,206445654,252955933
Underdog,Adventure,PG,43760605,53619462
The Game Plan,Comedy,PG,90648202,111010758
Dan in Real Life,Romantic Comedy,PG-13,47642963,58350234
Enchanted,Romantic Comedy,PG,127706877,156074310
National Treasure 2: Book of Secrets,Adventure,PG,219961501,267003525
Hannah Montana/Miley Cyrus: Best of B…,Concert/Performance,G,65281781,76646993
Step Up 2 the Streets,Drama,PG-13,58017783,68118371
College Road Trip,Comedy,G,45610425,53550960
The Chronicles of Narnia: Prince Caspian,Adventure,PG,141621490,166277038
WALL-E,Adventure,G,223808164,262771918
Swing Vote,Comedy,PG-13,16289867,19125841
Goal! 2: Living the Dream...,Drama,PG-13,225067,264247
Miracle at St. Anna,Drama,R,7916887,9295171
Beverly Hills Chihuahua,Comedy,PG,94514402,110932022
Morning Light,Documentary,PG,275093,322979
High School Musical 3: Senior Year,Musical,G,90559416,106308538
Bolt,Comedy,PG,114053759,133702498
Bedtime Stories,Comedy,PG,110101975,128039679
Confessions of a Shopaholic,Romantic Comedy,PG,44277350,49767744
Jonas Brothers: The 3D Concert Experi…,Concert/Performance,G,38174685,38174685
Race to Witch Mountain,Adventure,PG,67172594,75501997
Hannah Montana the Movie,Drama,G,79576189,89443640
Earth,Documentary,G,32011576,35981010
Up,Adventure,PG,293004164,329336681
The Proposal,Romantic Comedy,PG-13,163958031,184288829
G-Force,Adventure,PG,119436770,134246932
Gake no ue no Ponyo,Adventure,G,15090399,16961607
X Games 3D: The Movie,Documentary,PG,1391434,1563976
Walt and El Grupo,Documentary,PG,20521,23064
Surrogates,Action,PG-13,38577772,43361416
Toy Story 3D Double Feature,Adventure,G,30702446,34509545
Disney's A Christmas Carol,Drama,PG,137855863,154927105
The Princess and the Frog,Adventure,G,104400899,116316457
Old Dogs,Comedy,PG,49492060,55503929
When in Rome,Romantic Comedy,PG-13,32680633,34917330
Alice in Wonderland,Adventure,PG,334191110,357063499
Waking Sleeping Beauty,Documentary,PG,80741,86264
The Last Song,Drama,PG,62950384,67258772
Oceans,Documentary,G,19422319,20751600
Prince of Persia: Sands of Time,Action,PG-13,90759676,96971361
Toy Story 3,Adventure,G,415004880,443408255
The Sorcerer's Apprentice,Adventure,PG,63150991,67473105
Step Up 3D,Drama,PG-13,42400223,45302137
Gedo Senki (Tales from Earthsea),Adventure,PG-13,48658,51988
You Again,Comedy,PG,25702053,27461121
Secretariat,Drama,PG,59699513,63781920
Tangled,Adventure,PG,200821936,214388548
Tron: Legacy,Adventure,PG,172062763,183619259
Gnomeo and Juliet,Comedy,G,99967670,106270797
I am Number Four,Adventure,PG-13,55100437,58574607
Mars Needs Moms,Adventure,PG,21392758,22741603
African Cats,Documentary,G,15428747,16401551
Zokkomon,Adventure,PG,2815,2984
Prom,Comedy,PG,10130219,10768946
Pirates of the Caribbean: On Stranger…,Adventure,PG-13,241063875,256263359
Cars 2,Adventure,G,191450875,203522177
Winnie the Pooh,Adventure,G,26692846,28375869
The Help,Drama,PG-13,169705587,180404976
Fright Night,Horror,R,18298649,19452402
Real Steel,Action,PG-13,85463309,90848019
The Muppets,Comedy,PG,88625922,94189503
War Horse,Drama,PG-13,79883359,84762149
The Secret World of Arietty,Adventure,G,19192510,20325733
John Carter,Adventure,PG-13,73058679,77372445
Chimpanzee,Documentary,G,28965459,30675725
The Avengers,Action,PG-13,623279547,660081224
Brave,Adventure,PG,237282182,251292441
People Like Us,Drama,PG-13,12431792,13165822
The Odd Life of Timothy Green,Drama,PG,51853450,54914942
Frankenweenie,Comedy,PG,35287788,37363513
Wreck-It Ralph,Adventure,PG,189412677,200354959
Lincoln,Drama,PG-13,182207973,192122330
Oz the Great and Powerful,Adventure,PG,234770996,243434130
Iron Man 3,Action,PG-13,408992272,424084233
Monsters University,Adventure,G,268488329,278395641
The Lone Ranger,Western,PG-13,89302115,92597388
Disney Planes,Comedy,PG,90282580,93614037
The Fifth Estate,Drama,R,3254172,3374251
Thor: The Dark World,Adventure,PG-13,206362140,213962184
Kaze Tachinu,Drama,PG-13,5201879,5367415
Frozen,Adventure,PG,400738009,414997174
Delivery Man,Comedy,PG-13,30659817,31787136
Saving Mr. Banks,Drama,PG-13,83299761,86249969
Need for Speed,Action,PG-13,43568507,44955015
Muppets Most Wanted,Comedy,PG,51178893,52807594
Captain America: The Winter Soldier,Action,PG-13,259746958,268013076
Bears,Documentary,G,17780194,18346024
Million Dollar Arm,Drama,PG,36447959,37607865
Maleficent,Adventure,PG,241407328,249089809
Planes: Fire and Rescue,Adventure,PG,59157732,61040349
Guardians of the Galaxy,Adventure,PG-13,333172112,343771168
The Hundred-Foot Journey,Romantic Comedy,PG,54235441,55961409
"Alexander and the Terrible, Horrible,…",Comedy,PG,66954149,69055550
Big Hero 6,Adventure,PG,222527828,229249222
Into the Woods,Musical,PG,128002372,130894237
Strange Magic,Adventure,PG,12429583,12429583
"McFarland, USA",Drama,PG,44480275,44480275
Cinderella,Drama,PG,201151353,201151353
Monkey Kingdom,Documentary,G,16432322,16432322
Avengers: Age of Ultron,Action,PG-13,459005868,459005868
