Series.Title,Certificate,IMDB.Rating,Meta.score,Director,No.of.Votes,Gross
Bajrangi Bhaijaan,UA,8,,Kabir Khan,72245,"8,178,001"
Baby,UA,8,,Neeraj Pandey,52848,
La La Land,A,8,94,Damien Chazelle,505918,"151,101,803"
Lion,U,8,69,Garth Davis,213970,"51,739,495"
The Martian,UA,8,80,Ridley Scott,760094,"228,433,663"
Zootopia,U,8,78,Byron Howard,434143,"341,268,248"
Bãhubali: The Beginning,UA,8,,S.S. Rajamouli,102972,"6,738,000"
Kaguyahime no monogatari,U,8,89,Isao Takahata,38746,"1,506,975"
Wonder,U,8,66,Stephen Chbosky,141923,"132,422,809"
Gully Boy,UA,8,65,Zoya Akhtar,31886,"5,566,534"
Special Chabbis,UA,8,,Neeraj Pandey,51069,"1,079,369"
Short Term 12,R,8,82,Destin Daniel Cretton,81770,"1,010,414"
Serbuan maut 2: Berandal,A,8,71,Gareth Evans,114316,"2,625,803"
The Imitation Game,UA,8,73,Morten Tyldum,685201,"91,125,683"
Guardians of the Galaxy,UA,8,76,James Gunn,1043455,"333,176,600"
Blade Runner 2049,UA,8,81,Denis Villeneuve,461823,"92,054,159"
Her,A,8,90,Spike Jonze,540772,"25,568,251"
Bohemian Rhapsody,UA,8,49,Bryan Singer,450349,"216,428,042"
The Revenant,A,8,76,Alejandro G. Iñárritu,705589,"183,637,894"
The Perks of Being a Wallflower,UA,8,67,Stephen Chbosky,462252,"17,738,570"
Tropa de Elite 2: O Inimigo Agora é Outro,,8,71,José Padilha,79200,"100,119"
The King's Speech,U,8,88,Tom Hooper,639603,"138,797,449"
The Help,UA,8,62,Tate Taylor,428521,"169,708,112"
Deadpool,R,8,65,Tim Miller,902669,"363,070,709"
Darbareye Elly,TV-PG,8,87,Asghar Farhadi,45803,"106,662"
Dev.D,A,8,,Anurag Kashyap,28749,"10,950"
Yip Man,R,8,59,Wilson Yip,211427,
My Name Is Khan,UA,8,50,Karan Johar,98575,"4,018,695"
Nefes: Vatan Sagolsun,,8,,Levent Semerci,31838,
Slumdog Millionaire,UA,8,84,Danny Boyle,798882,"141,319,928"
Black Swan,A,8,79,Darren Aronofsky,699673,"106,954,678"
Tropa de Elite,R,8,33,José Padilha,98097,"8,060"
The Avengers,UA,8,69,Joss Whedon,1260806,"623,279,547"
Persepolis,PG-13,8,90,Vincent Paronnaud,88656,"4,445,756"
Dallas Buyers Club,R,8,80,Jean-Marc Vallée,441614,"27,298,285"
The Pursuit of Happyness,U,8,64,Gabriele Muccino,448930,"163,566,459"
Blood Diamond,A,8,64,Edward Zwick,499439,"57,366,262"
The Bourne Ultimatum,UA,8,85,Paul Greengrass,604694,"227,471,070"
Bin-jip,U,8,72,Ki-duk Kim,50610,"238,507"
Sin City,A,8,74,Frank Miller,738512,"74,103,820"
Le scaphandre et le papillon,PG-13,8,92,Julian Schnabel,103284,"5,990,075"
G.O.R.A.,,8,,Ömer Faruk Sorak,56960,
Ratatouille,U,8,96,Brad Bird,641645,"206,445,654"
Casino Royale,PG-13,8,80,Martin Campbell,582239,"167,445,960"
Kill Bill: Vol. 2,A,8,83,Quentin Tarantino,683900,"66,208,183"
Vozvrashchenie,,8,82,Andrey Zvyagintsev,42399,"502,028"
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,R,8,85,Ki-duk Kim,77520,"2,380,788"
Mar adentro,U,8,74,Alejandro Amenábar,77554,"2,086,345"
Cinderella Man,UA,8,69,Ron Howard,176151,"61,649,911"
Kal Ho Naa Ho,U,8,54,Nikkhil Advani,63460,"1,787,378"
Mou gaan dou,UA,8,75,Andrew Lau,117857,"169,659"
Pirates of the Caribbean: The Curse of the Black Pearl,UA,8,63,Gore Verbinski,1015122,"305,413,918"
Big Fish,U,8,58,Tim Burton,415218,"66,257,002"
The Incredibles,U,8,90,Brad Bird,657047,"261,441,092"
Yeopgijeogin geunyeo,,8,,Jae-young Kwak,45403,
Dogville,R,8,60,Lars von Trier,137963,"1,530,386"
Vizontele,,8,,Yilmaz Erdogan,33592,
Donnie Darko,R,8,88,Richard Kelly,740086,"1,480,006"
Magnolia,R,8,77,Paul Thomas Anderson,289742,"22,455,976"
Dancer in the Dark,U,8,61,Lars von Trier,102285,"4,184,036"
